Employee_ID,job_role,experience_years,ai_tool_usage_hours_per_week,tasks_automated_percent,manual_work_hours_per_week,learning_time_hours_per_week,deadline_pressure_level,meeting_hours_per_week,collaboration_hours_per_week,error_rate_percent,task_complexity_score,focus_hours_per_day,work_life_balance_score,burnout_risk_score,productivity_score,burnout_risk_level
02f168cc-7747-4dbd-a868-ea2cfb41e22a,Designer,4,10.8,24.1,23.3,2.6,Low,15.399999999999999,9.8,1.82,3,3.4,5.5,6.78,59.2,Medium
d39ce8c9-6e2a-4f86-b888-e2b5f4a18cf7,Developer,6,25.9,69.4,10.0,1.4,Medium,6.8,8.9,5.52,5,4.6,3.8,9.66,62.4,High
14511660-d78a-453f-9449-f17cd239ec27,Manager,20,7.9,17.2,25.1,0.2,High,3.5,8.6,1.14,5,5.6,3.9,10.0,76.8,High
0597f0bb-ed5a-4e35-94ac-3f0f6a5c2bc2,Developer,15,8.6,20.6,20.1,1.4,Low,5.9,5.3,2.75,10,1.0,7.4,5.38,53.7,Medium
3efbdd79-5997-496f-ad33-d4b3d31a9ac4,Analyst,4,16.1,34.9,22.1,1.4,Medium,1.0,4.6,3.27,5,6.0,4.7,9.0,54.3,High
8956631d-2979-48c4-b02a-c7c92904edae,Analyst,5,7.5,20.2,22.8,2.0,Medium,2.7,4.5,3.64,10,5.3,6.2,7.88,47.3,High
40e0d190-e7db-49d2-9d94-3e414aa43b28,Designer,13,5.8,20.5,25.5,1.0,Medium,5.2,4.0,2.17,8,4.0,5.4,8.49,48.1,High
a792563a-7268-4dc0-be45-db571ba84a19,Manager,19,3.3,13.4,24.6,0.4,Low,10.9,10.0,0.58,10,6.0,6.3,6.18,73.0,Medium
f67baf2c-fdee-46f9-ad29-4285b4509f66,Manager,1,5.5,13.1,25.5,1.4,Medium,13.1,11.4,3.06,3,2.5,3.5,9.9,31.3,High
81c59d7f-8aff-44b0-b8e9-ab5c76f444a1,Writer,8,17.9,55.4,10.0,4.9,Low,1.6,8.1,1.09,6,4.5,8.6,4.47,98.6,Low
1c27209f-8aec-42f0-a74e-027f552fc359,Developer,10,18.4,52.6,10.0,2.0,Medium,2.9,4.6,0.35,3,4.9,6.7,7.53,86.3,High
3dfbe100-7bf1-430e-b918-e93f796f004d,Analyst,3,11.4,25.7,20.3,0.9,Medium,7.4,3.8,1.83,9,5.4,4.7,9.0,58.3,High
534d6819-456e-47f0-9b02-36dff732c184,Developer,6,17.7,34.3,14.1,1.4,Medium,8.0,8.0,5.18,8,3.6,4.6,9.09,51.5,High
3b6e5c0b-bb00-4514-9532-c0f5a42d5421,Manager,19,1.7,0.0,32.7,1.2,Low,15.399999999999999,14.7,3.54,3,3.9,3.4,8.31,55.5,High
c990cfa9-11be-4bdc-86f0-2c0db0a36399,Developer,6,19.7,58.7,10.4,4.6,Medium,4.7,9.6,2.74,1,4.5,5.8,8.19,72.9,High
cafc91f9-1953-4a4a-ba1f-ce5141d75f25,Marketer,8,5.5,8.6,37.5,0.9,Low,8.5,6.7,3.32,2,3.6,3.1,8.54,48.5,High
cde9ef60-e939-49d2-9945-cf1a4ceee153,Analyst,7,15.8,37.3,10.0,2.5,Low,5.8,7.3,2.96,4,5.3,8.1,4.85,70.6,Medium
b064c821-9099-471b-b4aa-b8e68a0f96b0,Writer,9,15.4,37.5,17.8,2.0,Medium,4.7,3.3,4.31,7,5.3,5.0,8.77,59.8,High
